trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,MA60,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,KDJ_K,KDJ_D,KDJ_J,ATR_14,OBV,VOL_MA5,VOL_MA10,VOL_MA20
2025-07-04,66.06,67.08,65.17,66.4,66.06,0.34,0.5147,33291.51,220622.766,,,,,,0.0,0.0,0.0,,,,,,,,0.0,,,
2025-07-07,70.0,70.21,66.39,66.58,66.4,0.18,0.2711,81803.59,555223.143,,,,,100.0,0.014358974358970045,0.002871794871794009,0.011487179487176036,,,,,,,,81803.59,,,
2025-07-08,66.21,68.16,65.31,65.65,66.58,-0.93,-1.3968,84302.19,560718.119,,,,,15.234374999999574,-0.048742786178692654,-0.0074511213383033235,-0.04129166484038933,,,,,,,,-2498.600000000006,,,
2025-07-09,65.44,66.78,64.55,64.78,65.65,-0.87,-1.3252,52046.55,340202.257,,,,,8.217179902754964,-0.16702772350957673,-0.039366441772558006,-0.12766128173701874,,,,,,,,-54545.15000000001,,,
2025-07-10,64.68,65.39,64.07,65.07,64.78,0.29,0.4477,36788.74,238340.143,65.696,,,,21.24007731315342,-0.2346637544838046,-0.07842590431480734,-0.15623785016899727,,,,,,,,-17756.41000000001,57646.516,,
2025-07-11,64.9,64.95,63.88,63.9,65.07,-1.17,-1.7981,69966.1,449181.846,65.196,,,,13.139711884223885,-0.3783140493555379,-0.13840353332295346,-0.23991051603258445,,,,,,,,-87722.51000000001,64981.43400000001,,
2025-07-14,64.0,64.62,63.0,64.28,63.9,0.38,0.5947,51370.5,328913.396,64.73599999999999,,,,23.362560358135838,-0.4562359151455837,-0.20197000968747952,-0.2542659054581042,,,,,,,,-36352.01000000001,58894.816000000006,,
2025-07-15,64.65,66.88,64.42,66.59,64.28,2.31,3.5937,92601.78,612816.511,64.924,,,,56.7138522849414,-0.32781303603356093,-0.2271386149566958,-0.10067442107686514,,,,,,,,56249.76999999999,60554.73400000001,,
2025-07-16,66.33,67.12,65.51,66.0,66.59,-0.59,-0.886,54831.83,363668.626,65.16799999999999,,,,50.65090740509728,-0.27052658617617453,-0.23581620920059154,-0.03471037697558299,,,,41.60887656033291,41.60887656033291,41.60887656033292,,1417.9399999999878,61111.79,,
2025-07-17,65.88,66.47,64.8,65.46,66.0,-0.54,-0.8182,61482.04,402301.317,65.246,65.471,,,45.822542481110865,-0.2656380390095592,-0.24178057516238508,-0.023857463847174104,,,,39.112343966712906,40.77669902912625,35.78363384188623,,-60064.10000000001,66050.45000000001,61848.48300000001,
