trade_date,open,high,low,close,MA5,MA10,MA20,RSI,PE,PB,MACD_DIF,MACD_DEA,MACD,BB_middle,BB_upper,BB_lower,KDJ_K,KDJ_D,KDJ_J
2025-06-30,65.77,68.33,65.66,67.2,,,,,121.203,12.291,0.0,0.0,0.0,,,,,,
2025-07-01,67.01,68.24,66.5,67.95,,,,,122.5558,12.4282,0.059829059829056064,0.011965811965811214,0.0957264957264897,,,,,,
2025-07-02,67.68,67.97,66.5,66.96,,,,,120.7702,12.2471,0.027047507731268183,0.014982151118902609,0.02413071322473115,,,,,,
2025-07-03,66.86,67.59,65.88,66.06,,,,,119.1469,12.0825,-0.07073914998331077,-0.002162109101540067,-0.1371540817635414,,,,,,
2025-07-04,66.06,67.08,65.17,66.4,66.91,,,,119.7602,12.1447,-0.11942397696785179,-0.02561448267480241,-0.18761898858609877,,,,,,
2025-07-07,70.0,70.21,66.39,66.58,66.79,,,,120.0848,12.1776,-0.14184742857149502,-0.04886107185414093,-0.18597271343470817,,,,,,
2025-07-08,66.21,68.16,65.31,65.65,66.33,,,,118.4074,12.0075,-0.23198719916042876,-0.0854862973153985,-0.2930018036900605,,,,,,
2025-07-09,65.44,66.78,64.55,64.78,65.89,,,,116.8383,11.8484,-0.3693675071812663,-0.14226253928857208,-0.4542099357853885,,,,,,
2025-07-10,64.68,65.39,64.07,65.07,65.7,,,,117.3613,11.9014,-0.449658432186979,-0.20374171786825346,-0.49183342863745105,,,,16.286644951140065,16.286644951140065,16.28664495114007
2025-07-11,64.9,64.95,63.88,63.9,65.2,66.05,,,115.2511,11.6874,-0.6007734482776499,-0.28314806395013276,-0.6352507686550343,,,,10.963081889490935,14.512123930590356,3.8649978072920916
2025-07-14,64.0,64.62,63.0,64.28,64.74,65.76,,,115.9365,11.7569,-0.6820085925278505,-0.3629201696656763,-0.6381768457243484,,,,13.22642814824131,14.083558669807342,11.512167105109242
2025-07-15,64.65,66.88,64.42,66.59,64.92,65.63,,,120.1028,12.1794,-0.5536086788489172,-0.4010578715023245,-0.3051016146931853,,,,25.414937304560347,17.860684881391677,40.523442150897694
2025-07-16,66.33,67.12,65.51,66.0,65.17,65.53,,,119.0387,12.0715,-0.4937670521335207,-0.4195997076285638,-0.14833468900991376,,,,30.812917056484537,22.17809560642263,48.08255995660835
2025-07-17,65.88,66.47,64.8,65.46,65.25,65.47,,,118.0648,11.9728,-0.4843325348820571,-0.43254627307926247,-0.10357252360558922,,,,31.91503763081399,25.423742947886417,44.89762699666913
2025-07-18,65.5,65.88,64.66,64.69,65.4,65.3,,38.6,116.676,11.8319,-0.5328458614242635,-0.4526061907482627,-0.1604793413520016,,,,32.1940044153747,27.68049677038251,41.22101970535907
2025-07-21,64.88,65.1,63.68,64.07,65.36,65.05,,32.17,115.5577,11.7185,-0.6142412498955281,-0.48493320257771577,-0.2586160946356246,,,,30.119627539052324,28.493540359939118,33.37180189727874
2025-07-22,64.06,64.91,63.77,64.25,64.89,64.91,,36.54,115.8824,11.7514,-0.6566536910066816,-0.5192773002635089,-0.2747527814863453,,,,30.19302030111578,29.060033673664673,32.458993556017994
2025-07-23,64.27,64.78,63.28,64.55,64.6,64.89,,42.03,116.4235,11.8063,-0.6584679546577945,-0.547115431142366,-0.22270504703085692,,,,32.66913327517747,30.263066874168942,37.48126607719453
2025-07-24,64.53,65.12,64.11,64.48,64.41,64.83,,39.57,116.2972,11.7935,-0.6579695235621301,-0.5692862496263189,-0.17736654787162243,,,,33.753532215814126,31.426555321384004,38.407486004674375
2025-07-25,64.49,65.05,63.67,64.96,64.46,64.93,65.49,41.47,117.1629,11.8813,-0.6117901883896195,-0.5777870373789791,-0.06800630202128088,65.494,67.83472773209306,63.15327226790695,37.085688143876006,33.31293292888134,44.63119857386533
2025-07-28,65.48,66.19,64.83,65.21,64.69,65.03,65.39,47.51,117.6138,11.927,-0.548694809683056,-0.5719685918397945,0.046547564313477174,65.3945,67.59485858321702,63.19414141678297,41.47726431813948,36.03437672530072,52.36303950381702
2025-07-29,65.22,65.5,64.23,64.53,64.75,64.82,65.22,48.55,116.3874,11.8027,-0.5472531903581768,-0.567025511543471,0.03954464237058852,65.22349999999999,67.09457933950883,63.35242066049114,40.71316053811181,37.59397132957108,46.95153895519326
2025-07-30,64.62,65.4,63.91,64.03,64.64,64.62,65.08,44.12,115.4856,11.7112,-0.5797732528203454,-0.5695750597988459,-0.020396386042998982,65.07700000000001,66.83074606575694,63.323253934243084,35.7331723175041,36.973704992215424,33.25210696808145
2025-07-31,63.8,65.9,63.8,64.3,64.61,64.51,64.99,52.52,115.9726,11.7606,-0.5771063701018733,-0.5710813218594515,-0.012050096484843564,64.989,66.7114083506288,63.26659164937121,35.5059636755869,36.48445788667259,33.54897525341552
