trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20250704,66.06,67.08,65.17,66.4,66.06,0.34,0.5147,33291.51,220622.766
20250707,70.0,70.21,66.39,66.58,66.4,0.18,0.2711,81803.59,555223.143
20250708,66.21,68.16,65.31,65.65,66.58,-0.93,-1.3968,84302.19,560718.119
20250709,65.44,66.78,64.55,64.78,65.65,-0.87,-1.3252,52046.55,340202.257
20250710,64.68,65.39,64.07,65.07,64.78,0.29,0.4477,36788.74,238340.143
20250711,64.9,64.95,63.88,63.9,65.07,-1.17,-1.7981,69966.1,449181.846
20250714,64.0,64.62,63.0,64.28,63.9,0.38,0.5947,51370.5,328913.396
20250715,64.65,66.88,64.42,66.59,64.28,2.31,3.5937,92601.78,612816.511
20250716,66.33,67.12,65.51,66.0,66.59,-0.59,-0.886,54831.83,363668.626
20250717,65.88,66.47,64.8,65.46,66.0,-0.54,-0.8182,61482.04,402301.317
20250718,65.5,65.88,64.66,64.69,65.46,-0.77,-1.1763,53132.17,345547.607
20250721,64.88,65.1,63.68,64.07,64.69,-0.62,-0.9584,52325.84,335998.303
20250722,64.06,64.91,63.77,64.25,64.07,0.18,0.2809,43586.47,280967.191
20250723,64.27,64.78,63.28,64.55,64.25,0.3,0.4669,46518.83,298315.287
20250724,64.53,65.12,64.11,64.48,64.55,-0.07,-0.1084,44746.5,289134.414
20250725,64.49,65.05,63.67,64.96,64.48,0.48,0.7444,46712.57,300459.825
20250728,65.48,66.19,64.83,65.21,64.96,0.25,0.3849,56323.57,368999.866
20250729,65.22,65.5,64.23,64.53,65.21,-0.68,-1.0428,43972.8,284876.154
20250730,64.62,65.4,63.91,64.03,64.53,-0.5,-0.7748,43690.9,281384.104
20250731,63.8,65.9,63.8,64.3,64.03,0.27,0.4217,62460.73,405297.863
20250801,64.35,64.77,62.31,64.7,64.3,0.4,0.6221,66495.96,421427.212
20250804,64.7,65.07,63.63,63.9,64.7,-0.8,-1.2365,44774.19,287239.907
20250805,63.91,66.51,63.9,66.15,63.9,2.25,3.5211,87814.4,573799.522
20250806,65.87,66.88,64.96,66.87,66.15,0.72,1.0884,65167.08,429226.627
20250807,66.4,66.94,65.12,65.79,66.87,-1.08,-1.6151,49096.01,323740.643
20250808,65.77,65.78,64.28,64.43,65.79,-1.36,-2.0672,46098.83,298437.724
20250811,64.32,66.88,64.3,65.73,64.43,1.3,2.0177,62320.49,411756.139
20250812,65.76,66.37,64.61,65.95,65.73,0.22,0.3347,61632.74,403105.245
20250813,65.89,69.63,65.5,68.82,65.95,2.87,4.3518,121688.97,825376.026
20250814,68.82,69.85,66.9,67.26,68.82,-1.56,-2.2668,74308.85,503613.409
20250815,67.52,76.87,67.06,75.6,67.26,8.34,12.3996,152556.78,1095672.164
20250818,77.42,88.95,75.21,87.0,75.6,11.4,15.0794,208835.56,1697016.811
20250819,85.06,85.06,78.8,79.65,87.0,-7.35,-8.4483,202846.52,1645596.569
20250820,78.76,83.5,78.0,83.01,79.65,3.36,4.2185,163691.18,1331546.961
20250821,82.41,83.02,78.27,79.4,83.01,-3.61,-4.3489,121799.54,973972.778
20250822,79.01,82.2,78.9,80.95,79.4,1.55,1.9521,124902.48,1006097.797
20250825,81.3,84.69,80.6,82.83,80.95,1.88,2.3224,141337.04,1164962.207
20250826,82.55,82.55,80.51,81.27,82.83,-1.56,-1.8834,66288.62,540321.084
20250827,80.03,82.82,78.68,79.18,81.27,-2.09,-2.5717,136397.69,1097529.461
20250828,78.88,80.97,77.3,80.9,79.18,1.72,2.1723,108179.57,855480.261
20250829,81.14,82.54,80.08,80.61,80.9,-0.29,-0.3585,95284.68,774045.494
20250901,81.0,83.53,79.52,81.5,80.61,0.89,1.1041,97906.44,800030.692
20250902,80.75,81.97,76.9,77.26,81.5,-4.24,-5.2025,97833.2,770343.243
20250903,77.89,78.66,75.34,76.15,77.26,-1.11,-1.4367,70746.08,542233.206
20250904,77.9,80.0,70.3,71.86,76.15,-4.29,-5.6336,104524.55,774730.906
20250905,71.85,73.97,70.83,73.56,71.86,1.7,2.3657,64738.23,470728.181
20250908,74.79,75.85,73.56,74.7,73.56,1.14,1.5498,56872.96,425193.493
20250909,74.87,75.13,72.45,73.18,74.7,-1.52,-2.0348,45372.65,333594.419
20250910,73.2,74.65,72.9,73.42,73.18,0.24,0.328,36232.15,267379.532
20250911,73.16,76.7,72.42,75.96,73.42,2.54,3.4595,68349.93,513261.936
20250912,76.34,78.17,75.89,75.99,75.96,0.03,0.0395,63291.53,486450.473
20250915,78.01,78.9,75.16,75.16,75.99,-0.83,-1.0922,66422.35,508732.52
20250916,75.0,76.19,74.5,75.8,75.16,0.64,0.8515,55693.27,419904.255
20250917,76.6,79.2,76.0,78.97,75.8,3.17,4.1821,79485.54,620416.841
20250918,78.58,82.89,78.56,80.14,78.97,1.17,1.4816,112069.62,904104.309
20250919,80.28,80.85,76.76,77.46,79.98,-2.52,-3.1508,64478.06,508687.853
20250922,78.24,79.77,77.61,78.58,77.46,1.12,1.4459,54266.9,427641.653
20250923,78.94,79.98,74.35,76.4,78.58,-2.18,-2.7742,81703.85,624578.926
20250924,75.89,79.94,75.64,78.72,76.4,2.32,3.0366,64551.01,503815.699
20250925,78.53,79.5,77.68,78.2,78.72,-0.52,-0.6606,53940.2,422677.729
20250926,77.8,79.02,75.1,75.18,78.2,-3.02,-3.8619,55352.29,425203.842
20250929,75.07,76.35,74.64,75.2,75.18,0.02,0.0266,51369.01,387274.454
20250930,75.5,77.76,75.44,76.65,75.2,1.45,1.9282,52612.57,404583.093
20251009,78.0,80.22,77.0,78.83,76.65,2.18,2.8441,84305.24,667614.809
20251010,78.1,79.97,76.64,77.25,78.83,-1.58,-2.0043,73450.43,573274.919
20251013,74.78,77.99,74.7,77.86,77.25,0.61,0.7896,59409.27,453418.545
20251014,77.76,79.1,73.29,73.38,77.86,-4.48,-5.7539,78717.53,597313.168
20251015,71.48,71.48,67.03,69.69,73.38,-3.69,-5.0286,97430.25,674115.868
20251016,69.5,69.56,67.14,67.85,69.69,-1.84,-2.6403,69858.97,475987.441
20251017,67.68,68.11,64.8,65.05,67.85,-2.8,-4.1268,57614.31,380492.2
20251020,66.28,66.5,64.41,65.2,65.05,0.15,0.2306,52248.09,340788.383
20251021,65.5,66.6,64.42,66.56,65.2,1.36,2.0859,55297.32,362788.173
20251022,66.4,68.72,65.94,67.4,66.56,0.84,1.262,50379.35,341063.968
20251023,67.0,67.36,65.53,67.12,67.4,-0.28,-0.4154,27201.22,180300.306
20251024,67.48,68.78,67.48,68.55,67.12,1.43,2.1305,45474.82,309913.716
20251027,69.38,69.71,67.21,67.63,68.55,-0.92,-1.3421,63734.19,434956.403
20251028,67.29,68.59,66.51,67.2,67.63,-0.43,-0.6358,56021.92,379208.736
20251029,66.59,67.2,64.81,65.96,67.2,-1.24,-1.8452,87271.47,572471.995
20251030,65.96,65.98,64.49,64.6,65.96,-1.36,-2.0619,50738.11,329849.247
20251031,64.54,65.2,64.01,64.34,64.6,-0.26,-0.4025,47835.04,308298.591
20251103,64.34,64.34,62.6,64.03,64.34,-0.31,-0.4818,47062.02,298158.489
20251104,64.02,64.38,61.8,62.26,64.03,-1.77,-2.7643,47797.32,299732.383
20251105,61.5,62.2,61.16,61.86,62.26,-0.4,-0.6425,34205.11,210852.296
20251106,61.94,62.84,61.21,62.32,61.86,0.46,0.7436,49210.24,305679.586
20251107,61.98,61.98,60.76,60.81,62.32,-1.51,-2.423,42953.62,262303.303
20251110,61.18,61.46,59.9,60.69,60.81,-0.12,-0.1973,43548.72,263360.866
20251111,60.88,61.08,58.77,58.96,60.69,-1.73,-2.8506,46047.99,274572.909
20251112,58.88,59.65,58.02,59.28,58.96,0.32,0.5427,38806.52,229248.982
20251113,59.27,59.63,58.7,59.62,59.28,0.34,0.5735,38066.31,225222.197
20251114,58.8,59.29,58.01,58.01,59.62,-1.61,-2.7004,33758.63,198266.067
20251117,58.03,58.88,57.48,58.05,58.01,0.04,0.069,31758.19,184307.789
20251118,58.0,58.64,57.59,57.83,58.05,-0.22,-0.379,33416.11,194087.487
20251119,57.78,58.22,56.38,56.45,57.83,-1.38,-2.3863,37198.75,212230.891
20251120,57.02,57.84,56.01,56.01,56.45,-0.44,-0.7795,41154.26,233178.25
20251121,55.51,56.0,53.85,54.04,56.01,-1.97,-3.5172,56166.48,306852.073
20251124,54.7,56.5,54.17,56.26,54.04,2.22,4.1081,58710.49,327173.734
20251125,56.53,58.25,56.18,57.31,56.26,1.05,1.8663,52405.49,301287.528
20251126,57.72,58.5,56.51,57.28,57.31,-0.03,-0.0523,42641.4,245295.81
20251127,57.0,61.86,56.9,60.81,57.28,3.53,6.1627,126120.09,758829.392
20251128,59.94,60.4,58.86,60.0,60.81,-0.81,-1.332,68278.97,408116.363
20251201,61.2,61.58,59.81,60.68,60.0,0.68,1.1333,66861.65,404437.272
20251202,60.3,61.3,59.8,60.34,60.68,-0.34,-0.5603,49898.52,301774.78
20251203,60.15,60.18,58.7,59.01,60.34,-1.33,-2.2042,49097.08,291571.901
20251204,59.01,60.14,58.67,59.27,59.01,0.26,0.4406,40592.84,241209.481
20251205,59.27,62.3,58.9,61.53,59.27,2.26,3.8131,88724.65,539843.505
20251208,62.01,62.49,61.42,61.79,61.53,0.26,0.4226,75506.18,467312.619
20251209,61.63,62.82,60.69,61.0,61.79,-0.79,-1.2785,65192.67,402201.813
20251210,60.2,60.39,57.69,59.52,61.0,-1.48,-2.4262,108812.0,639651.151
20251211,59.84,60.02,58.7,58.7,59.52,-0.82,-1.3777,54344.13,322616.063
20251212,58.81,67.33,57.91,66.28,58.7,7.58,12.9131,210806.76,1332664.977
20251215,65.31,66.77,64.2,64.25,66.28,-2.03,-3.0628,117465.2,764236.01
20251216,65.0,65.57,62.52,63.16,64.25,-1.09,-1.6965,78019.8,495799.614
20251217,62.85,63.76,61.0,62.82,63.16,-0.34,-0.5383,85027.41,528607.34
20251218,62.5,65.25,62.26,63.11,62.82,0.29,0.4616,121803.79,782407.413
20251219,63.11,64.63,62.14,62.36,63.11,-0.75,-1.1884,84531.59,534085.15
20251222,63.02,64.5,63.02,63.4,62.36,1.04,1.6677,77787.95,495959.495
20251223,63.4,63.7,61.45,62.12,63.4,-1.28,-2.0189,84699.01,527805.39
20251224,62.07,63.72,61.67,63.49,62.12,1.37,2.2054,71252.51,447765.732
20251225,63.5,66.85,63.22,66.32,63.49,2.83,4.4574,124894.5,818259.031
20251226,66.34,70.18,66.16,68.25,66.32,1.93,2.9101,157250.16,1079644.334
20251229,68.25,69.65,66.77,67.19,68.25,-1.06,-1.5531,108926.3,739449.067
20251230,66.99,68.33,66.67,66.81,67.19,-0.38,-0.5656,86681.55,583269.092
20251231,66.97,67.2,65.4,66.11,66.81,-0.7,-1.0477,90194.08,595428.318
20260105,67.42,70.18,67.02,68.91,66.11,2.8,4.2354,127958.78,878297.473
20260106,68.46,69.36,67.35,68.6,68.91,-0.31,-0.4499,116589.76,795259.525
20260107,68.47,70.0,67.6,69.33,68.6,0.73,1.0641,103423.29,712899.267
20260108,68.81,72.77,68.75,71.55,69.33,2.22,3.2021,139451.85,994397.59
20260109,72.74,75.0,71.0,74.99,71.55,3.44,4.8078,135233.69,996257.774
20260112,76.88,80.58,76.5,77.1,74.99,2.11,2.8137,185179.86,1449310.539
20260113,75.88,76.0,71.55,72.6,77.1,-4.5,-5.8366,171497.66,1253890.885
20260114,72.96,74.05,69.93,70.93,72.6,-1.67,-2.3003,148154.16,1068084.472
20260115,70.22,70.7,68.26,70.58,70.93,-0.35,-0.4934,98657.3,685290.792
20260116,71.85,73.69,70.7,73.26,70.58,2.68,3.7971,97157.12,701837.09
20260119,73.5,73.78,71.61,72.51,73.26,-0.75,-1.0238,54302.7,394637.921
