trade_date,open,high,low,close,MA5,MA10,MA20,RSI,PE,PB
20250630,65.77,68.33,65.66,67.2,,,,,121.203,12.291
20250701,67.01,68.24,66.5,67.95,,,,,122.5558,12.4282
20250702,67.68,67.97,66.5,66.96,,,,,120.7702,12.2471
20250703,66.86,67.59,65.88,66.06,,,,,119.1469,12.0825
20250704,66.06,67.08,65.17,66.4,66.91,,,,119.7602,12.1447
20250707,70.0,70.21,66.39,66.58,66.79,,,,120.0848,12.1776
20250708,66.21,68.16,65.31,65.65,66.33,,,,118.4074,12.0075
20250709,65.44,66.78,64.55,64.78,65.89,,,,116.8383,11.8484
20250710,64.68,65.39,64.07,65.07,65.7,,,,117.3613,11.9014
20250711,64.9,64.95,63.88,63.9,65.2,66.05,,,115.2511,11.6874
20250714,64.0,64.62,63.0,64.28,64.74,65.76,,,115.9365,11.7569
20250715,64.65,66.88,64.42,66.59,64.92,65.63,,,120.1028,12.1794
20250716,66.33,67.12,65.51,66.0,65.17,65.53,,,119.0387,12.0715
20250717,65.88,66.47,64.8,65.46,65.25,65.47,,,118.0648,11.9728
20250718,65.5,65.88,64.66,64.69,65.4,65.3,,38.6,116.676,11.8319
20250721,64.88,65.1,63.68,64.07,65.36,65.05,,32.17,115.5577,11.7185
20250722,64.06,64.91,63.77,64.25,64.89,64.91,,36.54,115.8824,11.7514
20250723,64.27,64.78,63.28,64.55,64.6,64.89,,42.03,116.4235,11.8063
20250724,64.53,65.12,64.11,64.48,64.41,64.83,,39.57,116.2972,11.7935
20250725,64.49,65.05,63.67,64.96,64.46,64.93,65.49,41.47,117.1629,11.8813
20250728,65.48,66.19,64.83,65.21,64.69,65.03,65.39,47.51,117.6138,11.927
20250729,65.22,65.5,64.23,64.53,64.75,64.82,65.22,48.55,116.3874,11.8027
20250730,64.62,65.4,63.91,64.03,64.64,64.62,65.08,44.12,115.4856,11.7112
20250731,63.8,65.9,63.8,64.3,64.61,64.51,64.99,52.52,115.9726,11.7606
20250801,64.35,64.77,62.31,64.7,64.55,64.51,64.9,52.64,116.694,11.8337
20250804,64.7,65.07,63.63,63.9,64.29,64.49,64.77,29.15,115.2511,11.6874
20250805,63.91,66.51,63.9,66.15,64.62,64.68,64.8,50.92,119.3092,12.099
20250806,65.87,66.88,64.96,66.87,65.18,64.91,64.9,58.5,120.6079,12.2306
20250807,66.4,66.94,65.12,65.79,65.48,65.04,64.94,56.4,118.6599,12.0331
20250808,65.77,65.78,64.28,64.43,65.43,64.99,64.96,51.93,116.207,11.7844
20250811,64.32,66.88,64.3,65.73,65.79,65.04,65.03,57.07,118.5517,12.0221
20250812,65.76,66.37,64.61,65.95,65.75,65.19,65.0,56.74,118.9485,12.0624
20250813,65.89,69.63,65.5,68.82,66.14,65.66,65.14,66.46,124.1249,12.5873
20250814,68.82,69.85,66.9,67.26,66.44,65.96,65.23,58.06,121.3113,12.302
20250815,67.52,76.87,67.06,75.6,68.67,67.05,65.78,73.24,136.3534,13.8274
20250818,77.42,88.95,75.21,87.0,72.93,69.36,66.93,83.97,156.9147,15.9125
